"Bergasse_10" "Bergasse_11" "Bergasse_2" "Bergasse_6" "Brissot_2" "Brissot_4" "Brissot_8" "Brissot_9" "Condorcet_11" "Condorcet_2" "Condorcet_7" "Condorcet_8" "D'Alembert_10" "D'Alembert_12" "D'Alembert_13" "D'Alembert_3" "Delisle-de-Sales_11" "Delisle-de-Sales_18" "Delisle-de-Sales_6" "Delisle-de-Sales_7" "Garat_10" "Garat_4" "Garat_5" "Garat_8" "Gouges_2" "Gouges_3" "Gouges_4" "Gouges_5" "La-Harpe_1" "La-Harpe_4" "La-Harpe_6" "La-Harpe_9" "Marmontel_14" "Marmontel_15" "Marmontel_17" "Marmontel_18" "Sieyes_11" "Sieyes_2" "Sieyes_3" "Sieyes_4" "Villar_2" "Villar_3" "Villar_4" "Villar_6"
"un" 0.897308075772682 1.14885114885115 0.798004987531172 0.49800796812749 1.24812780828757 1.55 1.39790314528208 1.15 1.09945027486257 1.54922538730635 1.34865134865135 1.1 0.85 1.34932533733133 1.29805292061907 0.79960019990005 1.4985014985015 1.14770459081836 1.94902548725637 1.44638403990025 1.09945027486257 1.0989010989011 0.949525237381309 1.3986013986014 1.15 0.849150849150849 0.79960019990005 0.9 1.1988011988012 0.898652021967049 0.849575212393803 1.14598903836572 1.35 0.998003992015968 1.74650698602794 1.2 1.1988011988012 0.9 1.1 1 1.24875124875125 1.34865134865135 1.39790314528208 1.29740518962076
"est" 0.249252243270189 0.4995004995005 0.249376558603491 0.398406374501992 1.64752870693959 1.55 0.998502246630055 1.6 1.09945027486257 0.449775112443778 0.699300699300699 0.7 1.25 0.999500249875062 1.29805292061907 0.999500249875062 0.899100899100899 0.94810379241517 0.949525237381309 0.84788029925187 0.749625187406297 1.1988011988012 1.04947526236882 0.949050949050949 1 1.1988011988012 0.749625187406297 1.05 2.0979020979021 2.09685471792312 1.84907546226887 1.64424514200299 1.25 1.09780439121756 0.798403193612774 1.45 2.04795204795205 1.6 1.7 1.45 0.899100899100899 0.54945054945055 0.798801797304044 0.648702594810379
"dans" 0.997008973080758 0.949050949050949 1.04738154613466 0.547808764940239 0.948577134298552 1.2 0.698951572641038 0.75 0.849575212393803 1.09945027486257 1.04895104895105 0.55 1.15 1.29935032483758 1.34797803295057 1.64917541229385 1.44855144855145 1.19760479041916 0.749625187406297 1.24688279301746 1.94902548725637 1.0989010989011 1.54922538730635 0.749250749250749 1.45 0.699300699300699 1.04947526236882 1.35 0.949050949050949 0.948577134298552 0.999500249875062 1.24564025909317 0.95 0.698602794411178 0.548902195608782 1.1 0.749250749250749 1 1 1.05 1.2987012987013 0.999000999000999 1.04842735896156 0.998003992015968
"ne" 1.09670987038883 1.04895104895105 0.947630922693267 0.747011952191235 0.898652021967049 0.9 0.698951572641038 1.05 0.749625187406297 0.899550224887556 1.34865134865135 1.15 0.55 0.649675162418791 0.848726909635547 0.599700149925038 1.14885114885115 0.998003992015968 0.649675162418791 0.897755610972569 0.849575212393803 0.699300699300699 0.349825087456272 0.949050949050949 0.95 0.799200799200799 0.999500249875062 1.3 1.34865134865135 1.7973040439341 1.24937531234383 1.34529147982063 0.95 0.698602794411178 1.09780439121756 1.1 1.2987012987013 1.4 1.45 1.25 0.749250749250749 1.04895104895105 0.898652021967049 1.09780439121756
"et" 0.149551345962114 0.04995004995005 0.249376558603491 0 2.49625561657514 2.15 2.39640539191213 3 0.0499750124937531 0 0 0 2.15 1.54922538730635 1.7473789316026 1.94902548725637 0 0 0 0 0 0 0 0 1.55 0.999000999000999 0.749625187406297 0.9 2.74725274725275 3.29505741387918 1.99900049975012 2.98953662182362 0.05 0.0998003992015968 0 0 1.998001998002 2.05 2.3 1.9 0.04995004995005 0.04995004995005 0.0998502246630055 0.0499001996007984
"on" 1.24626121635095 0.899100899100899 1.04738154613466 0.99601593625498 1.29805292061907 1.15 0.748876684972541 1 0.599700149925038 0.499750124937531 0.799200799200799 0.8 0.8 0.999500249875062 1.29805292061907 0.599700149925038 1.04895104895105 1.09780439121756 0.649675162418791 0.598503740648379 1.04947526236882 0.699300699300699 0.699650174912544 0.849150849150849 0.6 0.44955044955045 0.999500249875062 0.4 1.04895104895105 1.04842735896156 0.749625187406297 1.34529147982063 0.9 0.798403193612774 0.698602794411178 0.7 0.799200799200799 1.1 1.3 1.25 0.849150849150849 0.949050949050949 0.698951572641038 0.648702594810379
"ce" 0.69790628115653 0.799200799200799 0.798004987531172 0.647410358565737 0.748876684972541 0.7 0.748876684972541 0.65 0.549725137431284 0.549725137431284 0.54945054945055 0.55 1.05 0.599700149925038 0.848726909635547 0.79960019990005 0.749250749250749 1.24750499001996 0.699650174912544 0.698254364089776 0.549725137431284 0.599400599400599 0.749625187406297 0.749250749250749 0.6 0.899100899100899 0.649675162418791 0.6 1.4985014985015 1.04842735896156 1.19940029985008 1.69407075236672 1.4 1.24750499001996 0.848303393213573 0.75 0.54945054945055 1 1.15 0.95 0.649350649350649 0.899100899100899 0.499251123315027 0.748502994011976
"une" 0.797607178464606 0.899100899100899 0.798004987531172 0.697211155378486 0.698951572641038 0.7 1.14827758362456 0.95 0.949525237381309 1.34932533733133 1.14885114885115 1.2 0.5 0.899550224887556 0.399400898652022 0.599700149925038 0.749250749250749 0.698602794411178 0.79960019990005 1.29675810473815 0.499750124937531 0.599400599400599 0.949525237381309 0.849150849150849 0.45 0.649350649350649 0.749625187406297 0.65 0.699300699300699 0.748876684972541 1.29935032483758 1.24564025909317 0.7 0.798403193612774 0.648702594810379 0.6 1.24875124875125 1 0.55 0.8 0.4995004995005 0.699300699300699 0.499251123315027 0.798403193612774
"du" 0.648055832502493 1.2987012987013 1.09725685785536 1.19521912350598 0.649026460309536 0.7 0.698951572641038 0.8 0.599700149925038 0.849575212393803 0.949050949050949 1.05 0.25 0.699650174912544 0.698951572641038 0.749625187406297 1.34865134865135 0.848303393213573 1.09945027486257 0.598503740648379 1.04947526236882 0.899100899100899 0.699650174912544 0.849150849150849 0.75 0.649350649350649 0.899550224887556 0.55 0.599400599400599 0.499251123315027 0.449775112443778 0.398604882909816 1.1 0.748502994011976 1.09780439121756 1.15 0.699300699300699 0.85 0.75 0.65 0.749250749250749 0.699300699300699 0.698951572641038 0.798403193612774
"pour" 0.648055832502493 0.699300699300699 0.798004987531172 0.747011952191235 0.798801797304044 1.2 1.04842735896156 0.75 0.79960019990005 0.949525237381309 0.949050949050949 0.7 0.85 0.599700149925038 0.599101347978033 0.849575212393803 0.899100899100899 0.898203592814371 0.549725137431284 0.698254364089776 0.899550224887556 0.799200799200799 0.899550224887556 0.699300699300699 0.6 0.949050949050949 0.649675162418791 0.7 0.649350649350649 0.499251123315027 0.599700149925038 0.747384155455904 0.85 0.798403193612774 1.04790419161677 0.7 0.799200799200799 0.7 1.25 1.2 0.999000999000999 0.849150849150849 0.499251123315027 0.698602794411178
