;link_bnf;link_gallica;author_short;selected;Titre;Date;Format;Auteur;Contributeur;Editeur;Description;Sujet;Langue;Format;link_gallica
21;http://catalogue.bnf.fr/ark:/12148/cb30420006j;https://gallica.bnf.fr/ark:/12148/bpt6k63827821;Fauchet;;Motion faite à l'assemblée des représentants de la Commune de Paris, le 4 février 1790, par M. l'abbé Fauchet, sur les rapports que le maire de Paris et le commandant général de la garde nationale parisienne pourroient avoir avec les communes et gardes nationales affiliées;1790;In-8° , 12 p.;Fauchet, Claude (1744-1793). Auteur du texte;;;;;fre | français | ;In-8° , 12 p.;https://gallica.bnf.fr/ark:/12148/bpt6k63827821
22;http://catalogue.bnf.fr/ark:/12148/cb372367689;https://gallica.bnf.fr/ark:/12148/bpt6k45886r;Fauchet;;Oraison funèbre de Charles-Michel de l'épée, prononcée dans l'église paroissiale de St-Etienne-du-Mont, le mardi 23 février 1790, d'après la délibération de la Commune de Paris, en présence de la députation de l'Assemblée nationale... ([Reprod.]) par M. l'abbé Fauchet, prédicateur ordinaire du Roi,...;1790;"1 microfiche ; 105*148 mm";Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;"Collection : Les archives de la Révolution française ; 8.1029";;fre | français | ;"1 microfiche ; 105*148 mm";https://gallica.bnf.fr/ark:/12148/bpt6k45886r
23;http://catalogue.bnf.fr/ark:/12148/cb304200145;https://gallica.bnf.fr/ark:/12148/bpt6k6510325j;Fauchet;;"Panégyrique de saint Louis, roi de France, prononcé dans la chapelle du Louvre, le 25 août 1774 ; en présence de l'Académie françoise : par M. l'abbé Fauchet";1774;"76-[1] p. ; in-8";Fauchet, Claude (1744-1793). Auteur du texte;;Dorez (Paris);;France (1226-1270, Louis IX);fre | français | ;"76-[1] p. ; in-8";https://gallica.bnf.fr/ark:/12148/bpt6k6510325j
24;http://catalogue.bnf.fr/ark:/12148/cb30420043r;https://gallica.bnf.fr/ark:/12148/bpt6k945396;Fauchet;;Origines des dignitez et magistrats de France , recueillies par Claude Fauchet. - Origine des chevaliers, armoiries et héraux, ensemble de l'ordonnance, armes et instruments desquels les François ont anciennement usé en leurs guerres. Recueillies par Claude Fauchet;1600;"2 parties en 1 vol. (308 p.) ; in-8";Fauchet, Claude (1530-1602). Auteur du texte;;J. Périer (Paris);;;frm | français moyen  | ;"2 parties en 1 vol. (308 p.) ; in-8";https://gallica.bnf.fr/ark:/12148/bpt6k945396
25;http://catalogue.bnf.fr/ark:/12148/cb30419978v;https://gallica.bnf.fr/ark:/12148/bpt6k62613970;Fauchet;;Adresse de la Société des amis de la Constitution à Caen , aux sociétés patriotiques du Calvados et à toutes les sociétés civiques de France;17..;"4 p. ; in-8";Fauchet, Claude (1744-1793). Auteur du texte;;impr. de P. Chalopin (Caen);;;fre | français | ;"4 p. ; in-8";https://gallica.bnf.fr/ark:/12148/bpt6k62613970
28;http://catalogue.bnf.fr/ark:/12148/cb30420039h;https://gallica.bnf.fr/ark:/12148/bpt6k8717637v;Fauchet;;Les Antiquitez gauloises et françoises, augmentées de trois livres contenans les choses advenues en Gaule et en France jusques en l'an 751 de Jésus-Christ, recueillies par M. le président Fauchet;1599;2 parties en 1 vol. in-8°;Fauchet, Claude (1530-1602). Auteur du texte;;J. Périer (Paris);;;frm | français moyen  | ;2 parties en 1 vol. in-8°;https://gallica.bnf.fr/ark:/12148/bpt6k8717637v
29;http://catalogue.bnf.fr/ark:/12148/cb30420037t;https://gallica.bnf.fr/ark:/12148/btv1b86268244;Fauchet;;Recueil de l'origine de la langue et poésie françoise, ryme et romans, plus les noms et sommaire des oeuvres de CXXVII poètes françois, vivans avant l'an M. CCC;1581;"209 p. ; in-4";Fauchet, Claude (1530-1602). Auteur du texte;;M. Patisson (Paris);;;fre | français | ;"209 p. ; in-4";https://gallica.bnf.fr/ark:/12148/btv1b86268244
31;http://catalogue.bnf.fr/ark:/12148/cb304200354;https://gallica.bnf.fr/ark:/12148/bpt6k6583616g;Fauchet;;Les oeuvres de feu M. Claude Fauchet, president en la cour des monnoyes . Reveues et corrigées en ceste dernière édition...;1610;"[13]-591-[51] ff. : portr. ; in-4";Fauchet, Claude (1530-1602). Auteur du texte;;J. de Heuqueville (Paris);;;fre | français | ;"[13]-591-[51] ff. : portr. ; in-4";https://gallica.bnf.fr/ark:/12148/bpt6k6583616g
35;http://catalogue.bnf.fr/ark:/12148/cb32093875b;https://gallica.bnf.fr/ark:/12148/bpt6k1265569k | https://gallica.bnf.fr/ark:/12148/bpt6k97981581;Fauchet;;"Troisième discours sur la liberté françoise, prononcé le dimanche 27 septembre 1789 dans l'église de Notre-Dame, pour la bénédiction générale de tous les drapeaux de la Garde nationale parisienne, M. l'archevêque de Paris, officiant. En présence de M. Bailly, maire ; de M. de La Fayette, commandant-général ; de MM. les députés de Paris, à l'Assemblée nationale & de MM les députés de tous les districts de Paris, par M. l'abbé Fauchet, l'un des représentans de la Commune & l'un des membres du Comité de Police de l'Hôtel de Ville, prédicateur ordinaire du Roi, vicaire général de Bourges, abbé commendataire de Montfort";1789;"1 vol. (30 p.) ; 20 cm";Fauchet, Claude (1744-1793). Auteur du texte;Moreau de Saint-Méry, Louis-Élie (1750-1819). Compilateur | Archives nationales d'outre-mer (France). Collecteur |;Bailly (Paris);;Éloquence politique -- Paris (France) -- 1789-1799 (Révolution);fre | français | ;"1 vol. (30 p.) ; 20 cm";https://gallica.bnf.fr/ark:/12148/bpt6k1265569k | https://gallica.bnf.fr/ark:/12148/bpt6k97981581
36;http://catalogue.bnf.fr/ark:/12148/cb34025445m;https://gallica.bnf.fr/ark:/12148/bpt6k9798159f | https://gallica.bnf.fr/ark:/12148/bpt6k65244722;Fauchet;;"Discours sur la liberté françoise, prononcé le mercredi 5 août 1789, dans l'eglise paroissiale de S.-Jacques & des SS. Innocens, durant une solemnité consacrée à la mémoire des citoyens qui sont morts à la prise de la Bastille, pour la défense de la patrie ; par M. l'abbé Fauchet, l'un des quatorze du premier Comité-permanent, & membre du Comité-provisoire des représentans de la commune à l'Hôtel-de-Ville de Paris, prédicateur ordinaire du Roi, vicaire-général de Bourges, abbé commendataire de Montfort.";1789;"[2]-16 p. ; in-8";Fauchet, Claude (1744-1793). Auteur du texte;Moreau de Saint-Méry, Louis-Élie (1750-1819). Compilateur | Archives nationales d'outre-mer (France). Collecteur |;A Paris, chez Bailly, rue S.-Honoré, barrière-des-sergens. De Senne l'aîné, au Palais Royal. Lottin de S.-Germain, rue S.-André-des-arcs. Cussac, au Pa lais-Royal. Le Portier de la communauté de S.-Roch. M. DCC. LXXXIX.;;Éloquence politique -- Paris (France) -- 1789-1799 (Révolution) | France -- 14 juillet 1789 |;fre | français | ;"[2]-16 p. ; in-8";https://gallica.bnf.fr/ark:/12148/bpt6k9798159f | https://gallica.bnf.fr/ark:/12148/bpt6k65244722
37;http://catalogue.bnf.fr/ark:/12148/cb304200176;https://gallica.bnf.fr/ark:/12148/bpt6k9798152j;Fauchet;;"Second discours sur la liberté françoise, prononcé le 31 août 1789, dans l'eglise paroissiale de Sainte-Marguerite, en présence des trois districts réunis du faubourg S.-Antoine ; par M. l'abbé Fauchet, l'un des citoyens choisis pour le premier comité de la Ville, & actuellement président du comité provisoire de Police de la Commune de Paris, prédicateur ordinaire du Roi, vicaire-général de Bourges, abbé commendataire de Montfort.";1789;"22 p. ; in-8";Fauchet, Claude (1744-1793). Auteur du texte;Moreau de Saint-Méry, Louis-Élie (1750-1819). Compilateur | Archives nationales d'outre-mer (France). Collecteur |;A Paris, chez Bailly, rue S.-Honoré, barrière-des-sergens. De Senne l'aîné, au Palais Royal. Lottin de S.-Germain, rue S.-André-des-arcs. Cussac, au Palais-Royal. Le Portier de la communauté de S-Roch. M. DCC. LXXXIX.;;Éloquence politique -- Paris (France) -- 1789-1799 (Révolution) | France (1774-1792, Louis XVI) |;fre | français | ;"22 p. ; in-8";https://gallica.bnf.fr/ark:/12148/bpt6k9798152j
