"Bergasse_3" "Bergasse_5" "Bergasse_6" "Bergasse_7" "Brissot_1" "Brissot_5" "Brissot_6" "Brissot_8" "Condorcet_11" "Condorcet_14" "Condorcet_4" "Condorcet_7" "D'Alembert_1" "D'Alembert_11" "D'Alembert_3" "D'Alembert_5" "Delisle-de-Sales_13" "Delisle-de-Sales_14" "Delisle-de-Sales_18" "Delisle-de-Sales_7" "Garat_10" "Garat_3" "Garat_8" "Garat_9" "Gouges_1" "Gouges_2" "Gouges_3" "Gouges_5" "La-Harpe_5" "La-Harpe_6" "La-Harpe_7" "La-Harpe_9" "Marmontel_10" "Marmontel_14" "Marmontel_2" "Marmontel_6" "Sieyes_11" "Sieyes_7" "Sieyes_8" "Sieyes_9" "Villar_1" "Villar_2" "Villar_4" "Villar_6"
"un" 0.94810379241517 0.698254364089776 1.0989010989011 1.09670987038883 1.1 1.29740518962076 1.34865134865135 1.34932533733133 1.74825174825175 1.4985014985015 1.3 0.849150849150849 1.24937531234383 1.2987012987013 0.849575212393803 1.39930034982509 1.49925037481259 1.4 1.44782825761358 1.69745381927109 0.798004987531172 0.7 1.34932533733133 0.75 0.85 0.9 0.749625187406297 1.39930034982509 0.998502246630055 1.04842735896156 1.04738154613466 1.14484818317571 1.24812780828757 1.44855144855145 1.5 1.39930034982509 1.44855144855145 0.849150849150849 1.1 0.85 1.64835164835165 1.44782825761358 1.29740518962076 0.949525237381309
"est" 0.399201596806387 0.498753117206983 0.34965034965035 0.498504486540379 2.05 1.59680638722555 0.899100899100899 1.54922538730635 0.799200799200799 1.1988011988012 0.95 0.799200799200799 0.849575212393803 1.4985014985015 1.44927536231884 0.849575212393803 1.24937531234383 1.25 0.748876684972541 1.29805292061907 1.09725685785536 0.85 0.949525237381309 0.6 0.85 1 0.999500249875062 0.849575212393803 2.09685471792312 2.39640539191213 1.94513715710723 1.79193628670981 1.59760359460809 1.2987012987013 1.15 1.14942528735632 1.8981018981019 1.998001998002 2.15 1.25 0.599400599400599 0.698951572641038 0.698602794411178 1.14942528735632
"dans" 0.94810379241517 1.09725685785536 1.0989010989011 0.897308075772682 0.9 0.998003992015968 1.0989010989011 0.699650174912544 1.34865134865135 0.849150849150849 0.9 0.799200799200799 1.19940029985008 1.24875124875125 1.19940029985008 0.899550224887556 1.04947526236882 1.15 1.24812780828757 1.24812780828757 1.94513715710723 1.75 1.19940029985008 1.6 1.2 1.25 0.79960019990005 0.999500249875062 0.898652021967049 0.848726909635547 1.39650872817955 0.696864111498258 0.649026460309536 0.4995004995005 1.2 0.499750124937531 0.599400599400599 1.1988011988012 1.1 1.3 0.999000999000999 0.948577134298552 0.998003992015968 1.09945027486257
"ne" 0.94810379241517 1.24688279301746 0.599400599400599 0.897308075772682 0.8 0.848303393213573 0.749250749250749 0.649675162418791 0.899100899100899 0.999000999000999 0.65 0.849150849150849 0.699650174912544 0.749250749250749 1.04947526236882 0.849575212393803 0.849575212393803 0.9 0.998502246630055 1.04842735896156 0.798004987531172 0.9 0.899550224887556 0.8 1.45 0.75 1.24937531234383 0.949525237381309 0.898652021967049 1.39790314528208 1.24688279301746 1.19462419113987 1.04842735896156 0.849150849150849 0.85 0.849575212393803 1.5984015984016 1.2987012987013 0.9 1.2 0.999000999000999 1.34797803295057 0.698602794411178 0.749625187406297
"et" 0 0.0997506234413965 0.24975024975025 0.0997008973080758 2.3 2.04590818363273 2.2977022977023 2.4487756121939 0 0.04995004995005 0 0.04995004995005 1.89905047476262 1.94805194805195 1.89905047476262 1.34932533733133 0.0499750124937531 0 0.0998502246630055 0.0499251123315027 0 0 0.0499750124937531 0.05 1.1 0.9 1.04947526236882 0.649675162418791 2.69595606590115 2.84573140289566 3.44139650872818 3.43454454952713 0.0998502246630055 0.04995004995005 0.05 0.0499750124937531 2.04795204795205 1.34865134865135 1.95 1.5 0.04995004995005 0.0998502246630055 0.0998003992015968 0.0499750124937531
"une" 0.848303393213573 1.09725685785536 0.649350649350649 0.548354935194417 0.7 0.598802395209581 0.799200799200799 1.04947526236882 1.44855144855145 1.34865134865135 1.2 0.999000999000999 1.14942528735632 0.599400599400599 0.849575212393803 0.699650174912544 0.79960019990005 0.45 0.499251123315027 0.649026460309536 0.897755610972569 0.9 0.849575212393803 0.75 0.6 1.15 0.699650174912544 0.649675162418791 0.649026460309536 0.649026460309536 1.09725685785536 0.945744151319064 0.798801797304044 0.799200799200799 0.6 0.649675162418791 1.0989010989011 1.14885114885115 1.35 1.25 0.849150849150849 0.649026460309536 0.598802395209581 0.79960019990005
"plus" 0.548902195608782 0.498753117206983 0.849150849150849 0.847457627118644 0.45 0.898203592814371 0.34965034965035 0.299850074962519 0.899100899100899 0.699300699300699 0.85 1.0989010989011 1.24937531234383 0.849150849150849 1.14942528735632 0.899550224887556 0.79960019990005 0.55 0.54917623564653 0.698951572641038 0.84788029925187 1 0.849575212393803 1.1 0.7 1.05 0.949525237381309 0.699650174912544 0.649026460309536 0.748876684972541 0.947630922693267 0.945744151319064 0.599101347978033 0.949050949050949 0.75 0.849575212393803 0.999000999000999 1.3986013986014 1.15 1 0.899100899100899 0.54917623564653 0.598802395209581 0.499750124937531
"on" 1.14770459081836 0.498753117206983 0.699300699300699 0.94715852442672 1 1.39720558882236 0.799200799200799 0.79960019990005 0.699300699300699 0.699300699300699 0.7 0.899100899100899 1.09945027486257 0.899100899100899 0.999500249875062 0.749625187406297 0.899550224887556 0.4 1.09835247129306 0.599101347978033 0.399002493765586 0.6 0.499750124937531 0.55 0.75 0.7 0.449775112443778 0.549725137431284 1.19820269595607 0.848726909635547 0.84788029925187 1.04529616724739 0.698951572641038 0.899100899100899 0.55 0.949525237381309 0.749250749250749 0.799200799200799 0.75 1.5 0.999000999000999 0.449326010983525 0.648702594810379 1.04947526236882
"pour" 0.798403193612774 0.748129675810474 0.54945054945055 0.847457627118644 1.3 0.648702594810379 1.1988011988012 1.04947526236882 0.999000999000999 1.0989010989011 1.4 0.699300699300699 0.649675162418791 0.949050949050949 0.999500249875062 0.749625187406297 0.299850074962519 0.5 0.499251123315027 0.649026460309536 0.648379052369077 0.6 0.599700149925038 0.9 1 0.65 0.899550224887556 0.79960019990005 0.898652021967049 0.599101347978033 0.598503740648379 0.647088103534097 0.848726909635547 0.54945054945055 0.75 1.24937531234383 0.999000999000999 1.24875124875125 0.8 1.15 0.749250749250749 0.449326010983525 0.499001996007984 0.499750124937531
"ce" 0.94810379241517 0.698254364089776 0.999000999000999 0.847457627118644 0.85 0.798403193612774 0.799200799200799 0.599700149925038 0.54945054945055 0.599400599400599 0.3 0.3996003996004 0.699650174912544 0.799200799200799 0.649675162418791 0.749625187406297 0.949525237381309 0.8 0.798801797304044 1.19820269595607 0.947630922693267 0.75 0.499750124937531 0.4 0.45 0.6 0.599700149925038 0.699650174912544 1.14827758362456 1.29805292061907 1.14713216957606 1.09507217521155 0.748876684972541 1.0989010989011 0.95 0.849575212393803 0.649350649350649 0.899100899100899 1.1 0.75 0.599400599400599 0.898652021967049 0.798403193612774 0.849575212393803
