"","link","author","Auteur","source"
"66","https://catalogue.bnf.fr/ark:/12148/cb30163016w","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"67","https://catalogue.bnf.fr/ark:/12148/cb30163007x","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"68","https://catalogue.bnf.fr/ark:/12148/cb32749012v","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"69","https://catalogue.bnf.fr/ark:/12148/cb30163015j","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"70","https://catalogue.bnf.fr/ark:/12148/cb30163037v","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"71","https://catalogue.bnf.fr/ark:/12148/cb301630057","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"72","https://catalogue.bnf.fr/ark:/12148/cb361259443","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"73","https://catalogue.bnf.fr/ark:/12148/cb30163058t","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"74","https://catalogue.bnf.fr/ark:/12148/cb316062565","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"75","https://catalogue.bnf.fr/ark:/12148/cb351915043","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"76","https://catalogue.bnf.fr/ark:/12148/cb30163067s","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"77","https://catalogue.bnf.fr/ark:/12148/cb30162993k","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"78","https://catalogue.bnf.fr/ark:/12148/cb455731501","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"79","https://catalogue.bnf.fr/ark:/12148/cb455786660","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"80","https://catalogue.bnf.fr/ark:/12148/cb302637656","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"81","https://catalogue.bnf.fr/ark:/12148/cb30263671v","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"82","https://catalogue.bnf.fr/ark:/12148/cb30263685j","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"83","https://catalogue.bnf.fr/ark:/12148/cb302636815","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"84","https://catalogue.bnf.fr/ark:/12148/cb30263676k","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"85","https://catalogue.bnf.fr/ark:/12148/cb30263712m","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"86","https://catalogue.bnf.fr/ark:/12148/cb30263743w","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"87","https://catalogue.bnf.fr/ark:/12148/cb30263701z","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"88","https://catalogue.bnf.fr/ark:/12148/cb30263713z","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"89","https://catalogue.bnf.fr/ark:/12148/cb30263763h","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"90","https://catalogue.bnf.fr/ark:/12148/cb30263717b","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
